"first_name","last_name","hire_date"
"Marit","Cyne","10/16/1989"
"Jouko","Denny","4/27/1989"
"Marek","Delgrossi","11/13/1989"
"Mingdong","Akiyama","10/11/1989"
"Miquel","Krybus","1/24/1989"
"Dinkar","Gelosh","1/3/1989"
"Sergi","Meriste","3/4/1989"
"Teunis","Pettit","12/25/1989"
"Parke","Lundstrom","1/15/1989"
"Kankanahalli","Gajiwala","6/24/1989"
"Gadiel","Gihr","9/18/1989"
"Yuuichi","Peek","9/4/1989"
"Along","Pell","11/12/1989"
"Giri","Kohling","9/25/1989"
"Sachio","Covnot","1/11/1989"
"Anyuan","Hatcliff","4/30/1989"
"Breannda","Gajiwala","6/13/1989"
"Oguz","Rijsenbrij","6/8/1989"
"Geoff","Ishibashi","12/28/1989"
"Jixiang","Gyorkos","12/23/1989"
"Premsyl","Fiutem","3/25/1989"
"Richard","Koprowski","9/15/1989"
"Valery","Mitchem","6/12/1989"
"Sushant","Hasenauer","8/4/1989"
"Basim","Flowers","2/9/1989"
"Navid","Cannane","11/20/1989"
"Peternela","Koyama","6/8/1989"
"Hironobu","Kabayashi","5/14/1989"
"Dipayan","Marchesini","3/11/1989"
"Berna","Sankaranarayanan","4/14/1989"
"Odysseas","Eastman","6/12/1989"
"Weicheng","Dechter","9/30/1989"
"Mahendra","Weisert","7/29/1989"
"Edwin","Skafidas","11/3/1989"
"Ulf","Ullian","5/20/1989"
"Mitchel","Marchesini","2/27/1989"
"Hiroyasu","Gurbaxani","11/10/1989"
"Sorina","Capobianchi","5/20/1989"
"Arumugam","Lorin","2/9/1989"
"Harngdar","Panangaden","3/11/1989"
"Shigeu","Isaak","7/3/1989"
"Aram","Rodier","9/9/1989"
"Remco","Morrin","5/6/1989"
"Oscar","Itzigehl","11/8/1989"
"Masali","Tomescu","7/10/1989"
"Abdelaziz","Junet","4/10/1989"
"Martien","Ernst","1/15/1989"
"Muneo","Nicolson","12/25/1989"
"Shir","Mateescu","8/8/1989"
"Arif","Lenart","3/17/1989"
"Isaac","Figueira","12/3/1989"
"Chanjung","Vuskovic","2/24/1989"
"Niranjan","Serov","1/11/1989"
"Chiradeep","Sooriamurthi","2/27/1989"
"Maria","Rissanen","4/14/1989"
"Emdad","Porotnikoff","2/18/1989"
"Guenter","Munos","2/25/1989"
"Shounak","Trogemann","8/6/1989"
"Gennadi","Showalter","5/25/1989"
"Tomofumi","Pouyioutas","5/6/1989"
"Mohamadou","Kumaresan","5/10/1989"
"Kristen","Debuse","3/7/1989"
"Marsha","Polajnar","4/15/1989"
"Chinya","Trogemann","7/14/1989"
"Tianruo","Bail","12/22/1989"
"Morrie","Beeson","6/28/1989"
"Tuval","Lorch","9/30/1989"
"Flemming","Brandsma","5/7/1989"
"Yurij","Conte","1/19/1989"
"Conal","Pauthner","4/8/1989"
"Luisa","Ruther","7/2/1989"
"Ekawit","Erev","3/4/1989"
"Gou","Sabnani","11/22/1989"
"Masaru","Huhdanpaa","6/21/1989"
"Jianhui","Chelton","3/31/1989"
"Arch","Duclos","2/2/1989"
"Guenter","Marzano","11/20/1989"
"Xuejia","Kropp","5/12/1989"
"Woody","Greibach","4/15/1989"
"Angus","Levasseur","8/27/1989"
"Masali","Ruther","7/12/1989"
"Patricia","Besselaar","4/18/1989"
"Djelloul","Sessa","2/12/1989"
"Godehard","Farrow","3/23/1989"
"Danco","Wursthorn","1/14/1989"
"Mariusz","Kakkar","5/19/1989"
"Hiroyasu","Marzano","3/30/1989"
"Chrisa","Krychniak","10/6/1989"
"Mayumi","Kaltofen","8/24/1989"
"Yishay","Barreiro","1/12/1989"
"Arif","Angel","10/20/1989"
"Huan","Aingworth","7/20/1989"
"Gopalakrishnan","Murtha","1/8/1989"
"Karsten","Businaro","2/24/1989"
"Qingxiang","Muhling","7/19/1989"
"Duke","Spinelli","3/10/1989"
"Takahito","Ratzlaff","5/24/1989"
"Kensyu","Lambe","3/26/1989"
"Torsten","Cyre","6/7/1989"
"Kenton","Reeker","12/31/1989"
"Aria","Miara","11/27/1989"
"Arvin","Birnbaum","4/19/1989"
"Rutger","Crelier","3/28/1989"
"Achilleas","Wuwongse","4/21/1989"
"Mahendra","Toyoshima","11/12/1989"
"Radhika","Mellouli","3/27/1989"
"Rosli","Papsdorf","6/8/1989"
"Haldun","Schapire","7/11/1989"
"Lijie","Khalid","3/19/1989"
"Guiseppe","Babu","2/1/1989"
"Goa","Cochrane","5/27/1989"
"Kensyu","Emiris","8/15/1989"
"Boutros","Gonthier","9/23/1989"
"Adit","Kroha","6/5/1989"
"Vidya","Munch","5/28/1989"
"Charlene","Bressoud","7/19/1989"
"Alejandro","Rullman","12/27/1989"
"Takushi","Leonhardt","11/14/1989"
"Martina","Miake","4/8/1989"
"Sashi","Huxford","5/8/1989"
"Lijia","Schwartzburd","5/21/1989"
"Gil","Pleszkun","11/5/1989"
"Hairong","Schlegelmilch","2/25/1989"
"Shaowen","Stamatiou","9/28/1989"
"Weicheng","Prochazka","12/8/1989"
"Arup","Dolinsky","4/28/1989"
"Chinhyun","Olivero","6/4/1989"
"Tokuyasu","Rissland","10/3/1989"
"Zhensheng","Baek","8/31/1989"
"Taiji","Pezzoli","4/26/1989"
"Kazuhiko","Asser","2/20/1989"
"Fun","Ratzlaff","1/22/1989"
"Masako","Asser","3/8/1989"
"Yuguang","Frezza","6/12/1989"
"Vatsa","Zielinski","11/23/1989"
"Oldrich","McAlpine","12/8/1989"
"Jaana","Rando","3/11/1989"
"Yagil","Kusakari","6/27/1989"
"Remco","Badr","3/18/1989"
"JiYoung","Ducloy","12/21/1989"
"Arvin","Jansen","9/6/1989"
"Brendon","Plavsic","1/2/1989"
"Achilleas","Leaver","6/25/1989"
"Mitsuyuki","Bellone","11/19/1989"
"Odysseas","Dulli","8/23/1989"
"Poornachandra","Keohane","6/14/1989"
"Berna","Barinka","2/13/1989"
"Susanta","Terwilliger","2/13/1989"
"Lorien","Merro","1/25/1989"
"Moon","Wielonsky","7/11/1989"
"Bikash","Parhami","3/22/1989"
"Zhenhua","Thiria","3/5/1989"
"DeForest","Savasere","3/26/1989"
"Kagan","Yamaashi","2/18/1989"
"Matt","Onuegbe","8/1/1989"
"Tua","Matteis","6/24/1989"
"Nalini","Bardell","9/14/1989"
"Foong","Deyuan","9/6/1989"
"Maria","Nannarelli","6/24/1989"
"Jungsoon","Brendel","3/31/1989"
"Subhrajyoti","Bolotov","5/14/1989"
"Gonzalo","Baek","10/30/1989"
"Hsiangchu","Tischendorf","6/6/1989"
"Nikolaus","Piazza","4/25/1989"
"Lubomir","Azuma","7/5/1989"
"Amalendu","Herath","9/18/1989"
"Vincent","Smeets","10/25/1989"
"Denis","Kranzdorf","7/28/1989"
"Godehard","Lupu","6/3/1989"
"Behnaam","Sherertz","1/19/1989"
"Vincent","Solovay","5/7/1989"
"Xiaoqiang","Castellani","6/30/1989"
"Yechezkel","Tiemann","4/12/1989"
"Kshitij","Narahara","4/13/1989"
"Sreenivas","Bazzichi","2/10/1989"
"Claude","Rosin","10/16/1989"
"Leszek","Speel","7/28/1989"
"Shigehiro","Gaughan","8/25/1989"
"Hirochika","Malabarba","4/17/1989"
"Van","Boudaillier","12/8/1989"
"Shaw","Keustermans","3/5/1989"
"Dinah","Pearson","7/8/1989"
"Yucai","Koyama","9/30/1989"
"Gennady","Gronowski","2/8/1989"
"Aris","Collette","1/26/1989"
"Nishit","Kilgour","6/29/1989"
"Visit","Decleir","5/4/1989"
"Paraskevi","Erdmenger","10/29/1989"
"Rafols","Breugel","8/11/1989"
"Constantine","Axelband","3/22/1989"
"Richara","Vigier","9/16/1989"
"Jayson","Aseltine","8/22/1989"
"Atilio","Debuse","9/2/1989"
"Koichi","Desikan","3/18/1989"
"Samphel","Maquelin","2/24/1989"
"Reinhard","Maginnis","8/7/1989"
"Yishay","Zwicker","3/13/1989"
"Macha","Beetstra","10/27/1989"
"Kerhong","Berendt","1/13/1989"
"Gilbert","Braunschweig","12/9/1989"
"Yuchang","Doering","6/30/1989"
"Jouni","Gihr","11/20/1989"
"Tayeb","Peak","10/4/1989"
"Bader","Takkinen","1/10/1989"
"Felicidad","Gruenwald","1/3/1989"
"Krister","Matzov","9/7/1989"
"Anneli","Ratnaker","12/6/1989"
"Guoxiang","Clouatre","12/13/1989"
"Khatoun","Rubsam","6/22/1989"
"Suvo","Baca","4/26/1989"
"Zengping","Kalefeld","9/14/1989"
"Masanao","Bierbaum","7/13/1989"
"Kamakshi","Miculan","8/9/1989"
"Jasminko","Salvesen","11/9/1989"
"Gil","Plavsic","11/9/1989"
"Muneo","Beeson","5/1/1989"
"Yurii","Weedman","9/10/1989"
"Khatoun","Talmon","11/26/1989"
"Hugh","Ratnakar","2/23/1989"
"Muneo","Hiroyama","4/18/1989"
"Arne","Granlund","8/13/1989"
"Padma","Manders","4/20/1989"
"Kien","Herath","5/24/1989"
"Bernice","Piazza","10/1/1989"
"Caolyn","Iwayama","2/11/1989"
"Janalee","Zlotek","9/1/1989"
"Takanari","Pokrovskii","8/12/1989"
"Kazuhiko","Flowers","7/29/1989"
"Basant","Schapire","5/14/1989"
"Siddarth","Schwartzburd","9/28/1989"
"Rimon","Maginnis","3/28/1989"
"Tsz","Lukaszewicz","7/24/1989"
"Ger","Garnick","6/29/1989"
"Holgard","Ozery","2/3/1989"
"Mayuri","Swan","6/11/1989"
"Janalee","Linnainmaa","8/23/1989"
"Masanao","Malinowski","11/9/1989"
"Heekeun","Delgrange","11/6/1989"
"Susuma","Rissanen","5/24/1989"
"Shounak","Kakkad","10/11/1989"
"Manu","Asmuth","6/21/1989"
"Munir","Rabehasaina","8/13/1989"
"Chirstian","Pauthner","7/15/1989"
"Roded","Grabner","12/29/1989"
"Neven","Vidya","3/11/1989"
"Tamiya","Kuzuoka","9/27/1989"
"Serge","Pramanik","10/30/1989"
"Adam","Cappello","4/10/1989"
"Bojan","Bierman","10/27/1989"
"Elvia","Aumann","9/18/1989"
"Tristan","DuBourdieux","1/31/1989"
"Rasikan","Ghazalie","1/2/1989"
"Sumali","Bernardeschi","5/19/1989"
"Jessie","Peternell","7/15/1989"
"Ramzi","Olano","11/8/1989"
"Satosi","Iivonen","9/15/1989"
"Remmert","Leppanen","9/22/1989"
"Mitsuyuki","Penz","9/9/1989"
"Matt","Rajcani","2/4/1989"
"Mariangiola","Krogh","7/8/1989"
"Randi","Walstra","8/15/1989"
"Takahiro","Karner","10/23/1989"
"Munehiro","Bain","2/6/1989"
"Tse","Hopewell","8/26/1989"
"Mingsen","Borovoy","1/5/1989"
"Sivanarayana","Dulay","1/26/1989"
"Arie","Welham","10/8/1989"
"Jaroslava","Murrill","2/13/1989"
"Reinhold","Theuretzbacher","4/5/1989"
"Willard","Luft","8/7/1989"
"Dante","Crooks","2/27/1989"
"Sukumar","Kalorkoti","6/26/1989"
"Tooru","Zweizig","1/1/1989"
"Stafford","Tibblin","2/18/1989"
"Jasminko","Camarinopoulos","7/11/1989"
"Arvind","Lenart","8/2/1989"
"Tonia","Petersohn","11/10/1989"
"Becky","Talmon","6/14/1989"
"Shalesh","Wroclawski","11/16/1989"
"Kristinn","Beznosov","5/3/1989"
"Siamak","Krybus","12/17/1989"
"Zhanqiu","Kilgour","7/3/1989"
"Arvind","Murtafg","6/2/1989"
"Aloys","Swiler","9/23/1989"
"Rayond","Simkin","7/10/1989"
"Chikara","Chappelet","9/4/1989"
"Ortrud","Ghandeharizadeh","2/3/1989"
"Snehasis","Leslie","10/21/1989"
"Subhash","Mattern","7/6/1989"
"Paraskevi","Kusakari","12/19/1989"
"Cordelia","Sullins","2/5/1989"
"Jouko","Millington","12/11/1989"
"Masasuke","Pollacia","4/2/1989"
"Ung","Szilard","12/6/1989"
"Yakichi","Facello","6/24/1989"
"Sachio","Staelin","1/28/1989"
"Greger","Thummel","6/7/1989"
"Satoru","Luiz","11/8/1989"
"Marsal","Maliniak","11/18/1989"
"Danai","Fraisse","4/30/1989"
"Matt","Sinitsyn","10/15/1989"
"Oddvar","Servieres","12/5/1989"
"Khaled","Foote","6/7/1989"
"Arno","Ramras","9/20/1989"
"Luisa","Meszaros","10/10/1989"
"Ger","Albarhamtoshy","1/31/1989"
"Youpyo","Melton","2/2/1989"
"Khue","Seuren","7/29/1989"
"Hercules","McClurg","3/25/1989"
"Conor","Pappas","2/22/1989"
"Danny","Verhaegen","2/10/1989"
"Sergi","Pocchiola","1/16/1989"
"Fay","Demian","8/26/1989"
"Vivian","Masada","1/17/1989"
"Armond","Krogh","6/18/1989"
"Gor","Lanteri","4/23/1989"
"Constantine","Reinhard","4/17/1989"
"Manton","Conta","7/12/1989"
"Tran","Magalhaes","11/9/1989"
"Chrisa","Hagimont","8/30/1989"
"Khaled","Bergere","8/7/1989"
"Mayuko","Gyorkos","10/23/1989"
"Jacqueline","Escriba","1/5/1989"
"Faiza","Luit","10/16/1989"
"Marsal","Hoppenstand","9/11/1989"
"Snehasis","Danner","1/5/1989"
"Leandro","Sinitsyn","4/23/1989"
"Conor","Waymire","12/23/1989"
"Makato","Rouquie","4/7/1989"
"Divine","Atchley","10/27/1989"
"Eran","Kragelund","5/13/1989"
"Chenye","Gire","4/23/1989"
"Shaz","Vendrig","2/17/1989"
"Shuji","Molberg","10/20/1989"
"Serap","Ertl","10/23/1989"
"Ramzi","Maginnis","1/15/1989"
"Elzbieta","Kavraki","3/27/1989"
"Jiong","Schauser","1/24/1989"
"Adil","Kriebel","6/30/1989"
"Aamod","Skafidas","2/6/1989"
"Shan","Lundstrom","12/30/1989"
"Gor","Fasbender","5/24/1989"
"Mohd","Crabtree","5/14/1989"
"Mary","Dredge","3/22/1989"
"Fayez","Ramaiah","5/22/1989"
"Valdiodio","Lowrie","11/25/1989"
"Rasikan","Maccarone","10/15/1989"
"Shuichi","Kuzuoka","5/1/1989"
"Kousuke","Kampfer","3/12/1989"
"Anwar","Kitai","1/26/1989"
"Prodip","Schrift","7/19/1989"
"Gad","Baez","11/11/1989"
"Moty","Varley","12/30/1989"
"Boriana","Talmor","1/2/1989"
"Sugwoo","Beutelspacher","1/19/1989"
"Mariangiola","Plump","2/27/1989"
"Moriyoshi","Sooriamurthi","12/11/1989"
"Deborah","Schnabel","5/4/1989"
"Moie","Cooman","4/27/1989"
"Masasuke","Heyers","10/14/1989"
"Saniya","Flexer","8/22/1989"
"Hongzhu","Jenevein","3/29/1989"
"Karlis","Brendel","7/31/1989"
"Francoise","Hardjono","8/16/1989"
"Shaw","Macedo","12/25/1989"
"Kwangyoen","Androutsos","7/8/1989"
"Shigeu","Hempstead","1/23/1989"
"Surveyors","Stamatiou","1/29/1989"
"Dulce","Chiodo","6/29/1989"
"Guozhong","Rosch","5/28/1989"
"Sergi","Cochrane","1/3/1989"
"Arto","Rissanen","11/22/1989"
"Jinya","Chimia","10/23/1989"
"Oscal","Jahnichen","7/2/1989"
"Taisook","Rissanen","5/7/1989"
"Luigi","Rehfuss","7/26/1989"
"Moie","Bahi","7/25/1989"
"Akeel","Sanella","5/22/1989"
"Bernt","Pouyioutas","1/18/1989"
"Mohamadou","Felcyn","3/30/1989"
"Aleksandar","Itzfeldt","4/1/1989"
"Rosella","Dredge","8/25/1989"
"Shigeichiro","Fandrianto","6/28/1989"
"Cordelia","Panienski","10/26/1989"
"Uma","Chandrasekhar","12/8/1989"
"Oscal","Ranze","7/22/1989"
"Selwyn","Hofman","9/7/1989"
"Adel","Ramsey","2/23/1989"
"Kwangsub","Huxford","12/18/1989"
"Lech","Flanders","6/29/1989"
"Fumitake","Isard","2/12/1989"
"Arch","Hebden","2/13/1989"
"Mikhail","Peral","10/19/1989"
"Tsz","Czap","3/5/1989"
"Martial","Harllee","2/28/1989"
"Idoia","Godskesen","6/29/1989"
"LiMin","Constantine","9/20/1989"
"Guadalupe","Kranzdorf","9/21/1989"
"Gor","Vakili","10/1/1989"
"Felicidad","Mitina","6/30/1989"
"Irena","Luck","10/29/1989"
"Fumiyo","Potthoff","12/18/1989"
"Wonhee","Erdi","11/28/1989"
"Toney","Klyachko","9/15/1989"
"Yifei","Ponthieu","4/19/1989"
"Goetz","McAlpine","1/23/1989"
"Shichao","Ozeki","4/20/1989"
"Niteen","Mattern","9/18/1989"
"Maja","Pluym","9/20/1989"
"Avishai","Brender","10/16/1989"
"Hugo","Peyn","10/5/1989"
"Edwin","Chinal","7/11/1989"
"Abdelaziz","Menhoudj","5/9/1989"
"Weidon","Khamsi","6/1/1989"
"Pradeep","Koblitz","4/14/1989"
"Paris","Range","10/25/1989"
"Along","Jervis","7/1/1989"
"Patricio","England","8/26/1989"
"Frazer","Wroclawski","2/22/1989"
"Uriel","Iivonen","7/28/1989"
"Mart","Levasseur","8/8/1989"
"Anneli","Buchter","1/4/1989"
"Adit","Braunmuhl","1/12/1989"
"Eirik","Minakawa","7/28/1989"
"Mong","Lorys","4/29/1989"
"Sajjan","Halloran","9/5/1989"
"Hisao","Camurati","6/22/1989"
"Odysseas","Bellmore","1/5/1989"
"Weijing","Verhaegen","12/2/1989"
"Rafail","Borovoy","9/11/1989"
"Phule","Vitiello","9/5/1989"
"Malu","Boreale","6/2/1989"
"Shridhar","Miake","3/10/1989"
"Shay","Bernini","5/30/1989"
"Hyuckchul","Bhattacharjee","4/21/1989"
"Arne","Garigliano","7/27/1989"
"Huan","Ponthieu","12/6/1989"
"Saeed","Kinley","5/8/1989"
"Bodh","Angot","9/10/1989"
"Babette","Valette","1/23/1989"
"George","Lalonde","7/23/1989"
"Hitomi","Flanders","6/2/1989"
"Yannik","Ducloy","1/3/1989"
"Mong","Mayerwieser","10/8/1989"
"Tamiya","Suri","10/13/1989"
"Gill","Kavraki","3/6/1989"
"Siddarth","Ecklund","1/12/1989"
"Youngkon","Schurmann","11/1/1989"
"Deborah","Brender","3/16/1989"
"Pradeep","Garigliano","1/7/1989"
"Takahiro","Uhrik","4/4/1989"
"Muneo","Anguita","1/26/1989"
"Divine","Hebert","4/8/1989"
"Bikash","Poupard","9/21/1989"
"Chandrasekaran","Samarati","11/9/1989"
"DAIDA","Beutelspacher","6/22/1989"
"Toshimitsu","Quaggetto","3/3/1989"
"Augustine","Jumpertz","11/27/1989"
"Mario","Roccetti","12/12/1989"
"Byong","Debuse","2/18/1989"
"Masanao","Waschkowski","2/26/1989"
"Halsur","Wilharm","2/21/1989"
"Siamak","Seiwald","9/14/1989"
"Maja","Simkin","4/5/1989"
"Aiman","Kawashimo","5/16/1989"
"Duke","Nannarelli","9/17/1989"
"Maya","Eiter","5/17/1989"
"Josyula","Pargas","8/23/1989"
"Panayotis","Marchesini","5/19/1989"
"Greger","Maginnis","10/10/1989"
"Peer","Rosay","2/15/1989"
"Tua","Aamodt","6/5/1989"
"Adam","Cardazo","6/20/1989"
"Gian","Ertl","9/18/1989"
"Fabrizio","Waterhouse","10/23/1989"
"Kwan","Gniady","2/13/1989"
"Lene","Schlenzig","2/20/1989"
"Vatsa","Jonsson","6/21/1989"
"Kauko","Goodrum","12/18/1989"
"Matk","Gente","3/20/1989"
"Tremaine","Schiper","4/24/1989"
"Juichirou","Fujisawa","11/7/1989"
"Yahiko","Egerstedt","2/1/1989"
"Marc","Wiegley","11/1/1989"
"Khatoun","McClure","12/9/1989"
"Junsik","Hopewell","11/28/1989"
"Laurentiu","Perng","6/25/1989"
"Arumugam","Schonegge","4/10/1989"
"Lunjin","Garnick","7/12/1989"
"Shahaf","Flexer","5/11/1989"
"Ramachenga","Mateescu","3/28/1989"
"Teruyuki","Denti","10/28/1989"
"Fuqing","Larfeldt","10/15/1989"
"Dipayan","Auyong","1/31/1989"
"Eckart","Detkin","3/12/1989"
"Khun","Lorch","12/5/1989"
"Tetsurou","Leppanen","4/26/1989"
"Tamiya","Monkewich","4/16/1989"
"Kwee","Demke","12/8/1989"
"Toshimo","Zaiane","4/10/1989"
"Stevo","Back","10/4/1989"
"Moni","Tramer","2/16/1989"
"Kazuhisa","Marwedel","2/23/1989"
"Fumiyo","Weiland","7/29/1989"
"Achilleas","Lubachevsky","10/19/1989"
"Branimir","Lichtner","12/31/1989"
"Tuval","Krupka","6/16/1989"
"Mariusz","Reeker","6/8/1989"
"Kristine","Bultermann","5/1/1989"
"Duke","Merle","12/17/1989"
"Kazuhiko","Crelier","4/20/1989"
"Naraig","Chaudhury","1/3/1989"
"Huican","Lores","4/2/1989"
"Shounak","Rande","3/31/1989"
"Adhemar","Mamelak","9/6/1989"
"Kwangho","Schaad","9/2/1989"
"Sariel","Rebaine","6/29/1989"
"Boalin","Melton","6/28/1989"
"Elvis","Kalafatis","9/14/1989"
"Subir","Dichev","6/24/1989"
"Fei","Itschner","11/21/1989"
"Kayoko","Lundstrom","6/17/1989"
"Hironoby","Smailagic","6/10/1989"
"Maja","Gaughan","10/6/1989"
"Tremaine","Heuter","9/4/1989"
"Arunas","Aumann","5/1/1989"
"Arne","Muchinsky","11/21/1989"
"Xiaoqiang","Iisaku","6/17/1989"
"Guangming","Anido","4/18/1989"
"Raimond","Sudkamp","10/15/1989"
"Suvo","Dehkordi","5/28/1989"
"Eben","Condotta","5/3/1989"
"Hidde","Schach","8/30/1989"
"Djelloul","Schaar","4/22/1989"
"Shuichi","Krohm","12/21/1989"
"Xiaopeng","Birjandi","7/3/1989"
"Hyuckchul","Bierman","6/4/1989"
"Marco","Glowinski","10/2/1989"
"Herb","Suppi","11/5/1989"
"Guenter","Kowalchuk","6/21/1989"
"Bodo","Sichman","7/17/1989"
"Leni","Miyakawa","9/19/1989"
"Goncalo","Cangellaris","4/4/1989"
"Boutros","Carrera","2/7/1989"
"Parviz","Sgarro","8/6/1989"
"Khalil","Marwedel","1/1/1989"
"Duri","Asrin","6/11/1989"
"Demos","Danlos","5/14/1989"
"Lihong","Eugenio","9/22/1989"
"Mads","Scharstein","12/27/1989"
"Lillian","Sommer","6/16/1989"
"Aloys","Highland","10/18/1989"
"Kendra","Goodrum","8/17/1989"
"Rutger","Ratnakar","6/27/1989"
"Charmane","Melski","12/18/1989"
"Tzu","Kossowski","6/24/1989"
"Ayonca","Danlos","7/3/1989"
"Gianluca","Alencar","8/16/1989"
"Krisda","Morrow","12/9/1989"
"Herb","Hardjono","12/18/1989"
"Salvador","Oppitz","10/25/1989"
"Jianhua","Alvarado","1/27/1989"
"Teiji","Shihab","11/3/1989"
"Gaetan","Gils","1/15/1989"
"Lalit","Blokdijk","3/26/1989"
"Basant","Waeselynck","4/17/1989"
"Yucai","Kropp","10/20/1989"
"Kendra","Suermann","11/19/1989"
"Stevo","Cannane","1/18/1989"
"Kwangho","Schaad","10/13/1989"
"Gererd","Hmelo","10/4/1989"
"Vasiliy","Brookner","1/20/1989"
"Macha","Laventhal","4/13/1989"
"Tetsurou","Back","7/7/1989"
"Uwe","Schnelling","3/20/1989"
"Noritoshi","Ligten","4/19/1989"
"Hideyuki","Pashtan","1/22/1989"
"Patricia","Versino","3/3/1989"
"Masato","Koshiba","4/6/1989"
"Vitali","Fiebach","10/25/1989"
"Temple","Shiratori","5/11/1989"
"Saeko","Esteva","3/12/1989"
"Xudong","Zaumen","8/8/1989"
"Lorien","Kohling","12/11/1989"
"Abdelkader","Vieri","4/11/1989"
"Mariusz","Gaughan","3/18/1989"
"Hironobu","Kenevan","9/26/1989"
"Salvador","Bail","9/23/1989"
"Rafols","Sankaranarayanan","3/1/1989"
"Yongmao","Waymire","1/12/1989"
"Jaewoo","Kalafatis","4/20/1989"
"Bingning","Stafford","8/31/1989"
"Arno","Chvatal","8/28/1989"
"Shem","Hebert","12/16/1989"
"Aiichiro","Trelles","6/3/1989"
"Tadahiro","Verhoeff","9/24/1989"
"Youssef","Kaiserswerth","7/30/1989"
"Constantine","Farrar","1/7/1989"
"Herb","Cannane","11/28/1989"
"Gino","Luga","12/11/1989"
"Fumino","Lorin","9/29/1989"
"Sachio","Simmel","10/28/1989"
"Younwoo","Mattern","9/18/1989"
"Bedir","Syrzycki","10/22/1989"
"Masami","Salvesen","6/14/1989"
"Hilari","Arlazarov","10/2/1989"
"Shao","Templeman","11/6/1989"
"Constantino","Gelosh","10/6/1989"
"Tadahiro","Reeker","12/13/1989"
"Bezalel","Trachtenberg","5/21/1989"
"Ioana","Gilg","12/11/1989"
"Rance","Marletta","4/23/1989"
"Mamdouh","Melton","5/12/1989"
"Sumant","Rahier","10/22/1989"
"Caolyn","Waymire","11/11/1989"
"Eldridge","Hooghiemstra","1/30/1989"
"Barun","Figueira","7/27/1989"
"Margareta","Uehara","1/2/1989"
